"Username","Trial","Condition.Number","Condition.Description","Condition.Notes","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","JOL","Procedure.Trial.Type","Procedure.Shuffle.1","Recall.Response","Recall_Score"
"961831MM",32,13,"BACKWARD READ VERSION A","NEW","ALLOW","TUCK","ON","U","Study Phase","24","Test","Recall1","",0
"w10025409_jnl",82,13,"BACKWARD READ VERSION A","NEW","ALLOW","TUCK","ON","U","Study Phase","3","Test","Recall1","",0
"w981975_sha",62,13,"BACKWARD READ VERSION A","NEW","ALLOW","TUCK","ON","U","Study Phase","10","Test","Recall1","",0
"961831MM",78,13,"BACKWARD READ VERSION A","NEW","ARCHITECTURE","DESIGN","ON","S","Study Phase","76","Test","Recall1","DESIGN",100
"w10025409_jnl",84,13,"BACKWARD READ VERSION A","NEW","ARCHITECTURE","DESIGN","ON","S","Study Phase","60","Test","Recall1","",0
"w981975_sha",98,13,"BACKWARD READ VERSION A","NEW","ARCHITECTURE","DESIGN","ON","S","Study Phase","75","Test","Recall1","Design",100
"961831MM",85,13,"BACKWARD READ VERSION A","NEW","ART","LION","ON","U","Study Phase","21","Test","Recall1","PAINT",0
"w10025409_jnl",66,13,"BACKWARD READ VERSION A","NEW","ART","LION","ON","U","Study Phase","10","Test","Recall1","lion",100
"w981975_sha",53,13,"BACKWARD READ VERSION A","NEW","ART","LION","ON","U","Study Phase","20","Test","Recall1","",0
"961831MM",82,13,"BACKWARD READ VERSION A","NEW","ARTERY","BRONZE","ON","U","Study Phase","2","Test","Recall1","LEG",0
"w10025409_jnl",39,13,"BACKWARD READ VERSION A","NEW","ARTERY","BRONZE","ON","U","Study Phase","1","Test","Recall1","body",0
"w981975_sha",92,13,"BACKWARD READ VERSION A","NEW","ARTERY","BRONZE","ON","U","Study Phase","1","Test","Recall1","",0
"961831MM",48,13,"BACKWARD READ VERSION A","NEW","BABY","CHILD","ON","S","Study Phase","90","Test","Recall1","NEWBORN",0
"w10025409_jnl",71,13,"BACKWARD READ VERSION A","NEW","BABY","CHILD","ON","S","Study Phase","90","Test","Recall1","child",100
