Number,Stimuli,Procedure,Condition Description,Condition Notes
1,versionA_stim.csv,READ_JOLVersionA.csv,READ Version A,OLD
2,versionA_stim.csv,READ_JOLVersionB.csv,READ Version B,OLD
3,versionC_stim.csv,READ_JOLVersionC.csv,READ Version C,OLD
4,versionC_stim.csv,READ_JOLVersionD.csv,READ Version D,OLD
5,versionA_stim.csv,IS_JOLVersionA.csv,ITEM SPECIFIC Version A,OLD
6,versionA_stim.csv,IS_JOLVersionB.csv,ITEM SPECIFIC Version B,OLD
7,versionC_stim.csv,IS_JOLVersionC.csv,ITEM SPECIFIC Version C,OLD
8,versionC_stim.csv,IS_JOLVersionD.csv,ITEM SPECIFIC Version D,OLD
9,versionA_stim.csv,RL_JOLVersionA.csv,RELATIONAL Version A,OLD
10,versionA_stim.csv,RL_JOLVersionB.csv,RELATIONAL Version B,OLD
11,versionC_stim.csv,RL_JOLVersionC.csv,RELATIONAL Version C,OLD
12,versionC_stim.csv,RL_JOLVersionD.csv,RELATIONAL Version D,OLD
